date,type_id,label,group,index,coverage,skus,baseline_skus,baseline_date
2026-08-16,bread_white,Beyaz ekmek,bread_cereals,,0.0,0,0,2026-08-16
2026-08-16,bread_toast,Tost ekmeği,bread_cereals,100.0,1.0,14,14,2026-08-16
2026-08-16,bread_wholewheat,Tam buğday ekmeği,bread_cereals,100.0,1.0,15,15,2026-08-16
2026-08-16,flour_wheat,Buğday unu,bread_cereals,100.0,1.0,24,24,2026-08-16
2026-08-16,rice,Pirinç,bread_cereals,100.0,1.0,25,25,2026-08-16
2026-08-16,bulgur,Bulgur,bread_cereals,100.0,1.0,25,25,2026-08-16
2026-08-16,pasta_spaghetti,Spagetti makarna,bread_cereals,100.0,1.0,12,12,2026-08-16
2026-08-16,pasta_other,Diğer makarna,bread_cereals,100.0,1.0,25,25,2026-08-16
2026-08-16,vermicelli,Şehriye,bread_cereals,100.0,1.0,20,20,2026-08-16
2026-08-16,oats,Yulaf ezmesi,bread_cereals,100.0,1.0,16,16,2026-08-16
2026-08-16,breakfast_cereal,Kahvaltılık gevrek,bread_cereals,,0.0,0,0,2026-08-16
2026-08-16,semolina,İrmik,bread_cereals,100.0,1.0,17,17,2026-08-16
2026-08-16,beef_mince,Dana kıyma,meat,100.0,1.0,12,12,2026-08-16
2026-08-16,beef_cubes,Dana kuşbaşı / sote,meat,100.0,1.0,11,11,2026-08-16
2026-08-16,chicken_breast,Tavuk göğüs,meat,100.0,1.0,6,6,2026-08-16
2026-08-16,chicken_thigh,Tavuk but / baget,meat,100.0,1.0,12,12,2026-08-16
2026-08-16,whole_chicken,Bütün piliç,meat,100.0,1.0,16,16,2026-08-16
2026-08-16,turkey,Hindi eti,meat,100.0,1.0,4,4,2026-08-16
2026-08-16,sucuk,Sucuk,meat,100.0,1.0,25,25,2026-08-16
2026-08-16,salami,Salam,meat,100.0,1.0,24,24,2026-08-16
2026-08-16,sausage,Sosis,meat,100.0,1.0,24,24,2026-08-16
2026-08-16,meatballs,Köfte,meat,100.0,1.0,13,13,2026-08-16
2026-08-16,tuna,Ton balığı,fish,100.0,1.0,25,25,2026-08-16
2026-08-16,sardine,Konserve sardalya,fish,,0.0,0,0,2026-08-16
2026-08-16,smoked_salmon,Somon füme,fish,,1.0,4,4,2026-08-16
2026-08-16,salmon,Somon fileto,fish,,1.0,1,1,2026-08-16
2026-08-16,frozen_fish,Dondurulmuş balık,fish,100.0,1.0,10,10,2026-08-16
2026-08-16,fish_fingers,Balık parmak,fish,,0.0,0,0,2026-08-16
2026-08-16,milk,İçme sütü,dairy_eggs,100.0,1.0,25,25,2026-08-16
2026-08-16,milk_lactosefree,Laktozsuz süt,dairy_eggs,100.0,1.0,20,20,2026-08-16
2026-08-16,yogurt,Yoğurt,dairy_eggs,100.0,1.0,24,24,2026-08-16
