date,group_id,label,scope,weight,index,coverage,types,baseline_types
2026-09-05,bread_cereals,"Ekmek, tahıllar ve makarna",food,0.14,100.0,0.8333,10,12
2026-09-05,meat,Et ve et ürünleri,food,0.15,100.0,0.8,8,10
2026-09-05,fish,Balık ve deniz ürünleri,food,0.04,100.0,0.6667,4,6
2026-09-05,dairy_eggs,Süt ürünleri ve yumurta,food,0.14,100.0,1.0,13,13
2026-09-05,oils_fats,Yağlar,food,0.06,100.0,0.8,4,5
2026-09-05,fruit,Meyve,food,0.08,100.0,0.6154,8,13
2026-09-05,vegetables,Sebze,food,0.11,100.0,0.6471,11,17
2026-09-05,sugar_snacks,"Şeker, tatlı ve atıştırmalık",food,0.08,100.0,0.9167,11,12
2026-09-05,other_food,Diğer gıda,food,0.04,100.0,1.0,10,10
2026-09-05,drinks,Alkolsüz içecekler,food,0.05,100.0,0.9091,10,11
2026-09-05,household_cleaning,Ev temizlik sarf malzemeleri,nonfood,0.07,100.0,0.9,9,10
2026-09-05,personal_paper,Kişisel bakım ve kağıt ürünleri,nonfood,0.04,100.0,1.0,11,11
2026-09-06,bread_cereals,"Ekmek, tahıllar ve makarna",food,0.14,100.0,0.8333,10,12
2026-09-06,meat,Et ve et ürünleri,food,0.15,100.0,0.8,8,10
2026-09-06,fish,Balık ve deniz ürünleri,food,0.04,100.0,0.6667,4,6
2026-09-06,dairy_eggs,Süt ürünleri ve yumurta,food,0.14,100.0,1.0,13,13
2026-09-06,oils_fats,Yağlar,food,0.06,100.0,0.8,4,5
2026-09-06,fruit,Meyve,food,0.08,100.0,0.6923,9,13
2026-09-06,vegetables,Sebze,food,0.11,100.0,0.6471,11,17
2026-09-06,sugar_snacks,"Şeker, tatlı ve atıştırmalık",food,0.08,100.0,0.9167,11,12
2026-09-06,other_food,Diğer gıda,food,0.04,100.0,1.0,10,10
2026-09-06,drinks,Alkolsüz içecekler,food,0.05,100.0,0.9091,10,11
2026-09-06,household_cleaning,Ev temizlik sarf malzemeleri,nonfood,0.07,100.0,0.9,9,10
2026-09-06,personal_paper,Kişisel bakım ve kağıt ürünleri,nonfood,0.04,100.0,1.0,11,11
2026-09-07,bread_cereals,"Ekmek, tahıllar ve makarna",food,0.14,100.0,0.8333,10,12
2026-09-07,meat,Et ve et ürünleri,food,0.15,100.8529,0.7,7,10
2026-09-07,fish,Balık ve deniz ürünleri,food,0.04,100.0,0.6667,4,6
2026-09-07,dairy_eggs,Süt ürünleri ve yumurta,food,0.14,100.4906,1.0,13,13
2026-09-07,oils_fats,Yağlar,food,0.06,100.5928,0.8,4,5
2026-09-07,fruit,Meyve,food,0.08,101.7783,0.6923,9,13
2026-09-07,vegetables,Sebze,food,0.11,,0.5882,10,17
2026-09-07,sugar_snacks,"Şeker, tatlı ve atıştırmalık",food,0.08,100.0,1.0,12,12
2026-09-07,other_food,Diğer gıda,food,0.04,99.9913,0.9,9,10
2026-09-07,drinks,Alkolsüz içecekler,food,0.05,99.4387,0.9091,10,11
2026-09-07,household_cleaning,Ev temizlik sarf malzemeleri,nonfood,0.07,99.1095,0.9,9,10
2026-09-07,personal_paper,Kişisel bakım ve kağıt ürünleri,nonfood,0.04,101.5492,1.0,11,11
2026-09-08,bread_cereals,"Ekmek, tahıllar ve makarna",food,0.14,100.0723,0.8333,10,12
2026-09-08,meat,Et ve et ürünleri,food,0.15,101.6369,0.6,6,10
2026-09-08,fish,Balık ve deniz ürünleri,food,0.04,,0.5,3,6
2026-09-08,dairy_eggs,Süt ürünleri ve yumurta,food,0.14,100.1338,1.0,13,13
2026-09-08,oils_fats,Yağlar,food,0.06,100.4158,0.8,4,5
2026-09-08,fruit,Meyve,food,0.08,100.5369,0.6923,9,13
2026-09-08,vegetables,Sebze,food,0.11,,0.5882,10,17
2026-09-08,sugar_snacks,"Şeker, tatlı ve atıştırmalık",food,0.08,100.8975,1.0,12,12
2026-09-08,other_food,Diğer gıda,food,0.04,100.2289,0.9,9,10
2026-09-08,drinks,Alkolsüz içecekler,food,0.05,99.6795,0.9091,10,11
2026-09-08,household_cleaning,Ev temizlik sarf malzemeleri,nonfood,0.07,99.1095,0.9,9,10
2026-09-08,personal_paper,Kişisel bakım ve kağıt ürünleri,nonfood,0.04,100.9455,1.0,11,11
2026-09-09,bread_cereals,"Ekmek, tahıllar ve makarna",food,0.14,100.0723,0.8333,10,12
2026-09-09,meat,Et ve et ürünleri,food,0.15,101.6369,0.6,6,10
2026-09-09,fish,Balık ve deniz ürünleri,food,0.04,,0.5,3,6
2026-09-09,dairy_eggs,Süt ürünleri ve yumurta,food,0.14,100.1338,1.0,13,13
2026-09-09,oils_fats,Yağlar,food,0.06,100.4158,0.8,4,5
2026-09-09,fruit,Meyve,food,0.08,100.5369,0.6923,9,13
2026-09-09,vegetables,Sebze,food,0.11,,0.5882,10,17
2026-09-09,sugar_snacks,"Şeker, tatlı ve atıştırmalık",food,0.08,100.8975,1.0,12,12
2026-09-09,other_food,Diğer gıda,food,0.04,100.2289,0.9,9,10
2026-09-09,drinks,Alkolsüz içecekler,food,0.05,99.6795,0.9091,10,11
2026-09-09,household_cleaning,Ev temizlik sarf malzemeleri,nonfood,0.07,99.1095,0.9,9,10
2026-09-09,personal_paper,Kişisel bakım ve kağıt ürünleri,nonfood,0.04,100.9455,1.0,11,11
